Index,Title,Date,Content,Page,Username,Total reviews,Location,Rating
148,Transaction parfaite,"December 19, 2023",Produit de qualité et service rapide,8,Anaïs,1 review,FR,5
149,La qualité des photos n’est…,"December 18, 2023",La qualité des photos n’est malheureusement plus au rendez-vous,8,Samia,1 review,FR,2
150,Au top,"December 20, 2023",Problème de livraison ma commande a été réimprimée gratuitement et reçue très rapidement,8,Corinne Leroy,3 reviews,FR,5
151,Superbe,"December 22, 2023",Juste parfait ! SAV impressionant. Qualité superbe. Produits originaux.,8,Pauline,1 review,FR,5
152,Très bons produits...qualité au top!!,"December 20, 2023",,8,Marie,1 review,FR,5
153,Plus d'un mois pour une livraison OM…,"December 21, 2023",Plus d'un mois pour une livraison OM .... la ou la poste met 5 jours Scandaleux,8,Solène,1 review,FR,2
154,Super,"December 21, 2023",Envoie rapide simple d’utilisation,8,Louise,1 review,FR,5
155,Parfait et rapide,"December 20, 2023",,8,Vincent,1 review,FR,5
156,Délais de livraison un peu long.,"December 21, 2023",,8,Floriane Poulmaire,2 reviews,FR,4
157,Sympa pour un cadeau de Noël,"December 21, 2023",Sympa pour un cadeau de Noël Ma belle mère étais ravis,8,Lea Quenum,2 reviews,FR,4
158,Le travail correspondaient aux commandes,"December 21, 2023",,8,Jean-Pierre Cervantes,6 reviews,FR,5
159,Super qualité photo,"December 21, 2023",Super qualité photoDélai de livraison très raisonnable,8,Alix Motte,2 reviews,FR,5
160,Vive la Cheerz family,"December 28, 2023",Bonne expérience. Service réactif. Photos superbes.,9,poulain,6 reviews,FR,5
161,Parfait comme toujours.,"December 19, 2023",,9,Pascale LAPEBIE,5 reviews,FR,5
162,Super qualité,"December 28, 2023","Super qualité ! Rapide à recevoir, livres magnifiques.",9,Naomi SIMON,2 reviews,FR,5
163,les photos sont très bien,"December 21, 2023","les photos sont très bien , juste le format qui est un peu GRAND m ;)",9,Michel  Vancutsem,2 reviews,BE,4
164,Du bonheur en photosNous sommes très heureux du livre que…,"December 19, 2023",Nous sommes très heureux du livre que nous avons reçu! c'est que du bonheur...,9,Patricia,2 reviews,FR,5
165,Je recommande,"December 26, 2023",Livraison rapide et qualite impeccable,9,Gaetane Simonet,2 reviews,FR,5
166,Très belle qualité,"December 19, 2023","Très belle qualité, délai de livraison respecté",9,Stephanie ,2 reviews,FR,5
167,Qualité,"December 20, 2023",Rapidité /coùt/b qualité couleur (2/20mal cadrées ),9,catherine Chmpanay,2 reviews,FR,4
168,Je n’ai jamais reçu mon colis,"December 28, 2023",,9,Lea,1 review,FR,1
169,Livraison rapide,"December 21, 2023","Livraison rapide, bon produit :)",9,Nelly,4 reviews,FR,5
170,tres bien et ultra rapide 👍,"December 29, 2023",,9,Helene Tanguy,2 reviews,FR,5
171,Rapidité et qualité au rdv.,"December 29, 2023",,9,Pontabri,2 reviews,FR,5
172,Au top bon gratuit gagné,"December 22, 2023",,9,Cynt ,2 reviews,FR,5
173,Photos,"December 27, 2023",Belle photo livraison rapide,9,BRUNO,2 reviews,FR,5
